title,type,dates,members,score
Sakamichi no Apollon: Bonus Track,Manga (1 vols),Mar 2012 - Jul 2012,"4,313 members",8.38
Chichi to Hige-Gorilla to Watashi,Manga (7 vols),Feb 2011 - Nov 2018,"4,292 members",8.38
Tensei shitara Slime Datta Ken,Manga (? vols),Mar 2015 -,"54,702 members",8.38
Act-age,Manga (? vols),Jan 2018 -,"18,800 members",8.38
Azumanga Daioh,Manga (4 vols),Jan 1999 - Mar 2002,"35,375 members",8.37
Planetes,Manga (4 vols),Jan 1999 - Jan 2004,"26,640 members",8.37
Komatta Toki ni wa Hoshi ni Kike,Manga (26 vols),Mar 1997 - May 2005,"6,328 members",8.37
Noblesse,Manhwa (? vols),Dec 2007 - Jan 2019,"69,771 members",8.37
Imawa no Kuni no Alice,Manga (18 vols),Nov 2010 - Mar 2016,"20,361 members",8.37
Feng Shen Ji II,Manhua (? vols),2011 - 2012,"9,890 members",8.37
Feng Shen Ji III,Manhua (? vols),2012 - 2014,"7,774 members",8.37
Bungou Stray Dogs,Manga (? vols),Dec 2012 -,"32,519 members",8.37
Canis Series,Manga (? vols),Jun 2012 -,"5,648 members",8.37
Hidamari ga Kikoeru,Manga (? vols),Dec 2013 -,"14,769 members",8.37
Vanitas no Carte,Manga (? vols),Dec 2015 -,"19,083 members",8.37
Tongari Boushi no Atelier,Manga (? vols),Jul 2016 -,"15,107 members",8.37
Sora wa Akai Kawa no Hotori,Manga (28 vols),Jan 1995 - Jun 2002,"17,342 members",8.36
Hellsing,Manga (10 vols),1997 - Sep 2008,"61,736 members",8.36
Tokyo Crazy Paradise,Manga (19 vols),Dec 1996 - Apr 2002,"14,439 members",8.36
Angel Densetsu,Manga (15 vols),May 1992 - Feb 2000,"36,710 members",8.36
Hachimitsu to Clover,Manga (10 vols),Apr 2000 - Jul 2006,"15,934 members",8.36
Tobaku Hakairoku Kaiji,Manga (13 vols),Nov 2000 - Apr 2004,"5,947 members",8.36
Toradora!,Novel (10 vols),Mar 2006 - Mar 2009,"18,105 members",8.36
Billy Bat,Manga (20 vols),Oct 2008 - Aug 2016,"23,863 members",8.36
Daichouhen Doraemon,Manga (24 vols),Jan 1980 - Mar 2004,"2,234 members",8.36
Blue Period,Manga (? vols),Jun 2017 -,"7,727 members",8.36
Gakuen Alice,Manga (31 vols),Sep 2002 - Jun 2013,"32,719 members",8.35
Mars,Manga (15 vols),Jan 1996 - Nov 2000,"23,354 members",8.35
Claymore,Manga (27 vols),May 2001 - Oct 2014,"111,761 members",8.35
Hourou Musuko,Manga (15 vols),Nov 2002 - Jul 2013,"20,004 members",8.35
Konjiki no Gash!!,Manga (33 vols),Jan 2001 - Dec 2007,"19,369 members",8.35
Touch,Manga (26 vols),Aug 1981 - Nov 1986,"7,964 members",8.35
Saiyuuki Gaiden,Manga (4 vols),May 1999 - May 2009,"8,036 members",8.35
Higurashi no Naku Koro ni Kai: Meakashi-hen,Manga (4 vols),Jan 2007 - Jun 2008,"9,636 members",8.35
