title,type,dates,members,score
Dynasty Celebrity,One-shot (? vols),Jul 2008 - Jul 2008,105 members,N/A
Kyoudai Monster ni Okasarechau Bishoujo-tachi,Manga (2 vols),May 2013 - Aug 2013,74 members,N/A
Big Dandy Show,One-shot (? vols),Apr 2013 - Apr 2013,123 members,N/A
Imouto de Ii no?,Manga (1 vols),Oct 2004 - Oct 2004,152 members,N/A
Ame Nochi Shizuku,One-shot (? vols),Nov 2012 - Nov 2012,225 members,N/A
Lusting Child,One-shot (? vols),Nov 2008 - Nov 2008,104 members,N/A
Omocha Shounen,One-shot (? vols),Jan 2006 - Jan 2006,243 members,N/A
Momoiro Hiyoko.,Manga (1 vols),Feb 2006 - Feb 2006,48 members,N/A
Houkago Rankou Club,Manga (1 vols),Sep 2008 - Sep 2008,79 members,N/A
Jaki no Haha,Doujinshi (1 vols),Jun 2010 - Jun 2010,131 members,N/A
Inkou Shimai,Manga (1 vols),Apr 2012 - Apr 2012,98 members,N/A
Kyou no Wanko,Manga (? vols),May 2006 - 2007,30 members,N/A
Shinzui,Doujinshi (8 vols),Sep 2007 - Nov 2008,298 members,N/A
Miyata-san Chi,One-shot (? vols),Apr 2013 - Apr 2013,119 members,N/A
Koushoku Glamorous,Manga (1 vols),Jan 2009 - May 2012,210 members,N/A
Hatsujou Baby,Manga (1 vols),Feb 2010 - Feb 2012,324 members,N/A
Hitozuma,Manga (2 vols),Jan 2012 - Feb 2012,112 members,N/A
Chii-chan Kaihatsu Nikki,Doujinshi (1 vols),Aug 2011 - Feb 2016,247 members,N/A
Bokunchi no Onahole Maid-san,One-shot (? vols),Aug 2011 - Aug 2011,113 members,N/A
Eat Me!,One-shot (? vols),Dec 2012 - Dec 2012,74 members,N/A
Kedamono no Ie,Manga (2 vols),May 2013 - Feb 2015,219 members,N/A
Hiren Mousou,One-shot (? vols),Apr 2013 - Apr 2013,77 members,N/A
Mahou Josou Shounen Magical☆Rio,Doujinshi (1 vols),Dec 2012 - Dec 2012,172 members,N/A
Uroshima Monogatari,Manga (1 vols),2000 - 2001,194 members,N/A
Choukyou no Jikan - Kichiku na Kare to Junjou Dorei,Manga (1 vols),Apr 2013 - Apr 2013,87 members,N/A
Kindan no Ai Nante Baka Yarou,Manga (? vols),Dec 2012 -,79 members,N/A
Ru Yi Lang Jun,Manhua (? vols),Sep 2012 - Sep 2012,150 members,N/A
Danchi Zuma Kansatsu,Manga (1 vols),-,173 members,N/A
Kaikan! Oneesan,Manga (1 vols),Mar 2009 - Mar 2009,47 members,N/A
Chokkaku no Choku,One-shot (? vols),Apr 2013 - Apr 2013,122 members,N/A
Senzai Shoujo,One-shot (? vols),Oct 2012 - Oct 2012,108 members,N/A
Ageha Chou Aishiteru,One-shot (? vols),Oct 2011 - Oct 2011,180 members,N/A
"Yaruki no Dashikata, Oshiemasu.",One-shot (? vols),Jul 2006 - Jul 2006,74 members,N/A
Kusuguttai no... Suki♥,Manga (1 vols),Mar 2010 - Jun 2012,201 members,N/A
Futanaricchi! Premium,Manga (1 vols),Jan 2009 - Jan 2009,121 members,N/A
Sweet Milk Parfait,Manga (1 vols),Apr 2011 - Oct 2012,194 members,N/A
BUSTYcher,Manga (? vols),Sep 2008 - Apr 2009,108 members,N/A
Joshi Show,Manga (1 vols),Jan 2009 - Jan 2009,56 members,N/A
F.S ISM,Manga (1 vols),Nov 2008 - Nov 2008,64 members,N/A
Ijimetai Oppai Hajimemashita,Manga (1 vols),May 2013 - May 2013,96 members,N/A
Turning Point☆: Moshi Ore ga 15-nenmae kara Jinsei Yarinaosetara,Manga (1 vols),Oct 2011 - Oct 2012,216 members,N/A
Iinari Nama Sounyuu,Manga (1 vols),Sep 2011 - Sep 2011,108 members,N/A
Junai Collapse,Manga (1 vols),Jul 2012 - Mar 2013,159 members,N/A
Kokoro ni Shizuku Ichirin,One-shot (? vols),Aug 2012 - Aug 2012,85 members,N/A
Fuuin no Hizumi,Manga (1 vols),Jun 2009 - Jun 2009,78 members,N/A
Josou Shounen Anthology: Kawai Sugiru Boku,Manga (2 vols),Jul 2011 - Oct 2011,97 members,N/A
Hougaki Musume,Manga (1 vols),Dec 2005 - Dec 2005,94 members,N/A
Hatsu Chupu,Manga (1 vols),Sep 2011 - Sep 2011,89 members,N/A
Tsuyudaku Futanari Musume,Manga (1 vols),Jul 2010 - Jul 2010,123 members,N/A
Kimochi Ii? x Kimochi Ii♡,Manga (1 vols),Apr 2008 - Sep 2010,310 members,N/A
Mon-Oka,Manga (1 vols),May 2010 - Jul 2011,144 members,N/A
Seme Ane,Manga (1 vols),Jun 2008 - Jun 2008,69 members,N/A
Askin' Bustin',One-shot (? vols),Oct 2009 - Oct 2009,127 members,N/A
Haha Nama,Manga (1 vols),May 2007 - Jun 2009,111 members,N/A
Kannin Shite Kudasai!!,One-shot (? vols),Dec 2010 - Dec 2010,113 members,N/A
Shiritsu Inwai Gakuen,Manga (1 vols),Mar 2009 - Mar 2009,89 members,N/A
Sexercise & Hard Puncher,One-shot (? vols),May 2013 - May 2013,76 members,N/A
Derete Midara,Manga (1 vols),Jan 2012 - Jan 2012,108 members,N/A
Kuroda-gumi Kuruwa Aibiki,Manga (1 vols),Sep 2005 - Sep 2005,76 members,N/A
Inaka no Motenashi,Manga (1 vols),Jun 2006 - Mar 2007,53 members,N/A
BRCN DOUBT,Doujinshi (1 vols),Oct 2012 - Oct 2012,351 members,N/A
Sessou Nashi Ryman,Manga (1 vols),-,66 members,N/A
Shikazono Gakuen Hiyoko Club,Manga (1 vols),2007 - 2007,28 members,N/A
Seitou Gijinka Seitou-tan,Manga (2 vols),2010 - 2010,32 members,N/A
Doujin ni Koishite,Manga (1 vols),2012 - 2012,226 members,N/A
Doujin ni Yumemite,Manga (1 vols),2013 - 2013,164 members,N/A
Switch,One-shot (? vols),Apr 2013 - Apr 2013,86 members,N/A
Hana Shounen,Manga (3 vols),2005 - 2005,139 members,N/A
Standby.,Manga (1 vols),2005 - 2005,31 members,N/A
Go Go Bokutachi,Manga (3 vols),2004 - 2004,48 members,N/A
Himeshiki Kazoku Keikaku,Manga (1 vols),2006 - 2006,43 members,N/A
Oreshiki Renai Keikaku,Manga (2 vols),2007 - 2007,41 members,N/A
Sore wa Koi ne,Manga (1 vols),2008 - 2008,47 members,N/A
Unmei no Housoku,Manga (1 vols),2004 - 2004,35 members,N/A
Oshikake Maid-tai,Novel (2 vols),Dec 2005 - Feb 2007,35 members,N/A
Futsuu ni Kawaii?,Manga (1 vols),Oct 2011 - Feb 2013,82 members,N/A
Sleep My Dear,Manga (1 vols),Mar 2012 - May 2013,65 members,N/A
Chikasugite Doushiyou,Manga (1 vols),-,67 members,N/A
Kedakaki Kemono no Tenazukekata,Manga (1 vols),-,64 members,N/A
Kawaii Anoko,Manga (1 vols),-,118 members,N/A
"Sensei, Koi ga Shitai desu",Manga (1 vols),Jan 2013 - Jan 2013,54 members,N/A
"Yukkuri Shiteitte ne: Slow Onanie Nyuumon ""Kaikan no Kakuchou to Jizoku""",Manga (1 vols),Nov 2010 - Nov 2010,135 members,N/A
Suck Me Back Again,One-shot (? vols),Aug 2012 - Aug 2012,158 members,N/A
Mawasare Musume,Manga (1 vols),Jul 2011 - Jul 2011,75 members,N/A
Ryouki Keiji Marusai,Manga (1 vols),- 2007,111 members,N/A
Tawawan,Manga (1 vols),Apr 2008 - Jul 2010,104 members,N/A
Lala to Oniichan,Manga (1 vols),Oct 2007 - Nov 2009,93 members,N/A
Kodoma Monko Pero Pero,Manga (1 vols),Sep 2012 - Sep 2012,52 members,N/A
Houkago Tin♂Time,Manga (1 vols),Aug 2011 - Dec 2012,190 members,N/A
Doutei Lovers,Manga (1 vols),Apr 2012 - May 2013,240 members,N/A
Innyuu Karakuri Kitan,Manga (1 vols),Apr 2011 - Mar 2013,170 members,N/A
Innyuu Ranbu,Manga (1 vols),Aug 2003 - Aug 2003,95 members,N/A
Kakusei Kanojo,Manga (1 vols),Apr 2010 - Dec 2012,156 members,N/A
Shibatte Nabutte♥,Manga (1 vols),Oct 2011 - Apr 2013,88 members,N/A
Shoujo Shiki Fuzoku Ogu Hinyoukika,Manga (1 vols),Dec 2010 - Apr 2013,126 members,N/A
Hatsujou Neko Manman,Manga (1 vols),Jun 2009 - Oct 2012,198 members,N/A
Oshikko Sensei,Doujinshi (? vols),Aug 2010 -,181 members,N/A
Shinkon-san Gokko,Manga (1 vols),Jan 2006 - Dec 2008,121 members,N/A
Mesubuta End,Manga (1 vols),Jun 2012 - Jun 2012,72 members,N/A
Debutante,Manga (? vols),May 2010 - Sep 2012,99 members,N/A
Kotaete! Taete!!,One-shot (? vols),Sep 2011 - Sep 2011,110 members,N/A
Katai Marshmallow,Manga (1 vols),Jun 2011 - Jun 2011,96 members,N/A
Ane Komori,One-shot (? vols),Dec 2012 - Dec 2012,214 members,N/A
Hitozuma Kateikyoushi Ritsuko,Manga (1 vols),Mar 2007 - Mar 2007,95 members,N/A
Pink Shadow,Manga (1 vols),Jan 2005 - Jan 2005,63 members,N/A
Otona no Jikanwari,Manga (1 vols),Apr 2013 - Apr 2013,61 members,N/A
Tonari no Wagamama,One-shot (? vols),Apr 2013 - Apr 2013,101 members,N/A
Lyrical Cute,Manga (1 vols),Jun 2013 - Jun 2013,202 members,N/A
Miseijoku,Manga (1 vols),Dec 2008 - Feb 2011,88 members,N/A
Pure Puri Children,Manga (1 vols),Dec 2010 - Dec 2010,111 members,N/A
Honey & Sweet,Manga (1 vols),Jun 2006 - Aug 2007,68 members,N/A
Mahou Gakuin Epicuria,Manga (1 vols),Jul 2006 - Mar 2008,55 members,N/A
Fever! Pack'n Co,Manga (1 vols),Dec 2007 - Aug 2009,134 members,N/A
Pretty Monster,One-shot (? vols),May 2013 - May 2013,94 members,N/A
Ouame Zubu Nure Chuuihou!,One-shot (? vols),Jul 2013 - Jul 2013,60 members,N/A
Hitozuma Moyou,Manga (4 vols),May 2001 - Sep 2002,44 members,N/A
Shiritsu! Futanari Gakuen Seitokai,Manga (1 vols),May 2008 - Feb 2009,179 members,N/A
Futanarikko Pretty!,Manga (1 vols),Dec 2006 - Dec 2006,190 members,N/A
Cheerism dj - ED no Kanna no Eroi Hon,Doujinshi (1 vols),Jul 2012 - Jul 2012,121 members,N/A
Futanari Oukoku no Bokkou,Manga (1 vols),Sep 2012 - Sep 2012,139 members,N/A
Penguin Oukoku: Gakuen Shotou-bu Sensei Gakari no Oshigoto,Manga (1 vols),Apr 2003 - Dec 2014,131 members,N/A
Increment RO,Manga (1 vols),Dec 2007 - Dec 2007,57 members,N/A
Abunai no Gohoubi,One-shot (? vols),Feb 2013 - Feb 2013,184 members,N/A
M & A,One-shot (? vols),Apr 2013 - Apr 2013,159 members,N/A
Yoiyami Carnival,Manga (1 vols),Jun 2006 - Jun 2006,26 members,N/A
Mahou Shoujo Ai,Manga (1 vols),Jul 2009 - Jul 2009,124 members,N/A
Tenshi na Anego,One-shot (? vols),Feb 2013 - Feb 2013,220 members,N/A
Yuujou ka Yokujou ka!?,One-shot (? vols),Mar 2013 - Mar 2013,201 members,N/A
Watashi tte Eroi ndesu.,Manga (1 vols),Apr 2004 - Oct 2005,136 members,N/A
Hame Pero,Manga (1 vols),Nov 2011 - May 2013,328 members,N/A
Kore ga Watashi no Maid Michi!,One-shot (? vols),Jan 2013 - Jan 2013,127 members,N/A
Onegai Kiite!,One-shot (? vols),Sep 2012 - Sep 2012,75 members,N/A
Koneko,Manga (1 vols),2002 - 2002,91 members,N/A
3-nin Asobi: Ore to Charao to Junjou Wanko,Manga (1 vols),Feb 2013 - Feb 2013,279 members,N/A
Kizudarake no Shoujo-tachi,Manga (2 vols),Dec 2010 - Jun 2014,117 members,N/A
Yuuzutsu wa Ai ni Tokeru,Manga (1 vols),May 2012 - Mar 2013,96 members,N/A
Gedou,Manga (1 vols),2003 - 2003,86 members,N/A
Give and Take,One-shot (? vols),Aug 2010 - Aug 2010,86 members,N/A
Teach Me! Triangle,One-shot (? vols),Jan 2013 - Jan 2013,105 members,N/A
Selections,Doujinshi (1 vols),Mar 2013 - Mar 2013,137 members,N/A
Familiar,One-shot (? vols),Jun 2013 - Jun 2013,108 members,N/A
Jun Kissa Monokage-ya,Manga (? vols),May 2005 - Dec 2005,95 members,N/A
Peach de Lesson,One-shot (? vols),May 2006 - May 2006,92 members,N/A
Etsuraku no Ikenie,Manga (1 vols),2000 - 2001,78 members,N/A
Yuuwaku no Toshiue Apartment,Manga (1 vols),Jun 2008 - Oct 2009,189 members,N/A
Bowing♀Bow-Shock,Manga (1 vols),Sep 2012 - Sep 2012,79 members,N/A
Boku to Kanojo no Konjaku,One-shot (? vols),Jun 2012 - Jun 2012,202 members,N/A
Kyuusuitou no Yuurei,One-shot (? vols),Apr 2013 - Apr 2013,74 members,N/A
Yuujou Chuudoku Shoureisha,One-shot (? vols),Dec 2012 - Dec 2012,106 members,N/A
Please Hold Me,One-shot (? vols),Apr 2013 - Apr 2013,178 members,N/A
Hole in Love,Doujinshi (1 vols),Dec 2004 - Dec 2004,176 members,N/A
Mesu Saga,Manga (1 vols),Nov 2011 - Nov 2011,326 members,N/A
Kuroi Heya to Shiroi Sora,Manga (1 vols),Nov 2002 - Nov 2002,96 members,N/A
Miboujin no Tsukurikata,Manga (1 vols),Nov 2003 - Nov 2003,95 members,N/A
Sadist,Manga (1 vols),Nov 2000 - Nov 2000,75 members,N/A
Masomama,Manga (1 vols),Mar 2002 - Nov 2003,105 members,N/A
Hatarakimasen!,Manga (1 vols),Jun 2000 - Aug 2001,87 members,N/A
Long Version,Manga (2 vols),Jun 2002 - Oct 2003,30 members,N/A
Kanojo to Feti Play,Manga (1 vols),Dec 2011 - Dec 2011,98 members,N/A
Chichi Miko!: Inran Otome Zoushi,Manga (1 vols),Mar 2010 - Feb 2011,83 members,N/A
Kanojo e Class Change!,One-shot (? vols),Mar 2013 - Mar 2013,96 members,N/A
Zettai♥Kaikan Mechanism,Manga (1 vols),Jul 2013 - Jul 2013,123 members,N/A
Oishii Oniku no Meshiagarikata,Manga (1 vols),Jul 2013 - Jul 2013,239 members,N/A
Yuuwaku no Pit In,Manga (1 vols),Jul 2013 - Jul 2013,75 members,N/A
Fetish Ken!,One-shot (? vols),Mar 2013 - Mar 2013,182 members,N/A
Type-H,Manga (1 vols),Sep 2006 - Sep 2006,39 members,N/A
Kyousei Renai,Manga (1 vols),Aug 2011 - Aug 2011,71 members,N/A
Yuuwaku!,One-shot (? vols),Feb 2011 - Feb 2011,91 members,N/A
Zettai Fukujuu Camera,Manga (? vols),Jul 2013 -,117 members,N/A
Akogare no Anoko wo Nikudorei ni Suru Houhou,Manga (1 vols),Oct 2009 - Oct 2009,93 members,N/A
Honey Trap!,Manga (1 vols),Oct 2010 - Oct 2010,61 members,N/A
Mochihada,Manga (1 vols),May 2007 - May 2007,59 members,N/A
Pai Koki: Kanojo no Mune wa Chichi Onaho,Manga (1 vols),Dec 2006 - Jan 2012,87 members,N/A
Hatsujou-kei Joshi.,Manga (1 vols),Dec 2005 - Jan 2013,88 members,N/A
Onedari Meikko,One-shot (? vols),Aug 2006 - Aug 2006,71 members,N/A
Hitomi,Manga (1 vols),Nov 2005 - Nov 2005,44 members,N/A
Chikan Elevator,Manga (1 vols),Jan 2003 - Jan 2003,29 members,N/A
Blow!,Manga (1 vols),Apr 2001 - Apr 2001,32 members,N/A
Katagiri Shimai,One-shot (? vols),Mar 2013 - Mar 2013,213 members,N/A
Shinobi no Oiwai,One-shot (? vols),Mar 2013 - Mar 2013,74 members,N/A
Love a la Mode,Manga (1 vols),Jul 2009 - Jul 2009,45 members,N/A
Itazura Toshokan,One-shot (? vols),Nov 2010 - Nov 2010,93 members,N/A
Ballad ni Shitekure,Manga (1 vols),Feb 2004 - Feb 2004,51 members,N/A
Zelbesty,Doujinshi (? vols),Jul 2010 -,74 members,N/A
Seiin Ningyou,Manga (? vols),Apr 2009 - Aug 2010,42 members,N/A
Torokeana,Manga (1 vols),Apr 2009 - Apr 2013,123 members,N/A
Aniue ga Kedamono Sugite Meiwaku Sugiru,Manga (1 vols),Aug 2012 - Jul 2013,203 members,N/A
Kocchi Muite! Sensei,One-shot (? vols),Apr 2013 - Apr 2013,207 members,N/A
Ota☆Koi Series,Novel (3 vols),Jun 2011 - Oct 2012,42 members,N/A
Kimi no Soba de Yamikumo na Yume wo Miru,Manga (1 vols),2012 - 2012,190 members,N/A
Shichigatsu no Crossroad,Manga (1 vols),Jun 2011 - Oct 2012,282 members,N/A
Iki wo Suru yori Kiss ga Shitai,Manga (1 vols),Dec 2012 - Dec 2012,194 members,N/A
"Tsumetaku, Amai.",Manga (1 vols),May 2006 - Dec 2009,237 members,N/A
Joushi no Kuse ni Namaiki da,Manga (1 vols),Apr 2011 - Sep 2011,207 members,N/A
Ani to Obake no Tsukiaikata,Doujinshi (? vols),Aug 2011 - Aug 2011,134 members,N/A
Gay Detective!,One-shot (? vols),-,171 members,N/A
Otoko no Ko Dorei,Manga (1 vols),Jun 2013 - Jun 2013,62 members,N/A
Datte Otokonoko damon,Manga (1 vols),Nov 2005 - Nov 2005,185 members,N/A
Osanai Kajitsu: Inkou Shougakusei no Houkago,Manga (2 vols),May 2007 - May 2007,62 members,N/A
Genkansaki de,Manga (1 vols),Jul 2013 - Jul 2013,133 members,N/A
Hybrid Stardust,Manga (1 vols),Jul 2013 - Jul 2013,155 members,N/A
Matsuge no Saki 3 Centimeters no Kyori,Manga (1 vols),Apr 2011 - Apr 2011,75 members,N/A
Deardrops,One-shot (? vols),Aug 2010 - Aug 2010,148 members,N/A
Kisei Survival,One-shot (? vols),May 2013 - May 2013,82 members,N/A
Futarism,Manga (1 vols),Dec 2009 - Dec 2010,48 members,N/A
Sekai wa Moe de Dekiteiru!!,Manga (1 vols),Jul 2010 - Jul 2010,72 members,N/A
Tsunpri: Aishite Ohimesama,Novel (1 vols),Aug 2009 - Aug 2009,181 members,N/A
Tsunagaru★Bangle: Tsunomiya Shizuku no Koigokoro,Novel (1 vols),Mar 2008 - Mar 2008,28 members,N/A
Dokidoki Fami-Res Time: Ano Musume wa Waitress,Novel (1 vols),Jan 2007 - Jan 2007,36 members,N/A
Seitokaichou to Ojousama wo Iinari Saimin!,Novel (1 vols),Jul 2013 - Jul 2013,58 members,N/A
Milk Princess,Novel (3 vols),Nov 2011 - Sep 2013,72 members,N/A
Omowaseburi na Kimi no Tonari,Manga (1 vols),Mar 2012 - Mar 2012,244 members,N/A
Maniac Days,Manga (1 vols),Feb 2012 - Apr 2013,187 members,N/A
Love Comedy♥,Manga (1 vols),May 2013 - May 2013,319 members,N/A
Norusoru,Doujinshi (1 vols),Dec 2011 - Dec 2011,78 members,N/A
Akuochi,One-shot (? vols),Mar 2013 - Mar 2013,141 members,N/A
Kyou kara Shimobe!,One-shot (? vols),May 2013 - May 2013,215 members,N/A
Install,One-shot (? vols),Apr 2013 - Apr 2013,146 members,N/A
Delusion Miyuki,Doujinshi (2 vols),Aug 2010 - May 2011,120 members,N/A
Momoman,Manga (1 vols),Dec 2007 - Dec 2007,42 members,N/A
Ouse on Iori,One-shot (? vols),Sep 2012 - Sep 2012,67 members,N/A
Shoujo no Mikaku,Manga (1 vols),Oct 2007 - Oct 2007,77 members,N/A
Hana Hook Anthology Comics,Manga (2 vols),Mar 2013 - Apr 2013,91 members,N/A
Futanari wa Ai no Akashi,Manga (1 vols),Nov 2009 - Nov 2009,89 members,N/A
Nuno no Mukougawa,Manga (1 vols),Apr 2006 - Jul 2011,42 members,N/A
Rokomo,Manga (1 vols),Jul 2004 - Jul 2005,42 members,N/A
Kinjirareta Asobi,Manga (1 vols),Oct 2001 - Oct 2001,47 members,N/A
Natsu no Omoide,Manga (1 vols),Feb 2003 - Feb 2003,75 members,N/A
Namahame Dream,Manga (1 vols),Aug 2009 - Aug 2009,60 members,N/A
Time Slot,One-shot (? vols),Mar 2013 - Mar 2013,107 members,N/A
Parasol,One-shot (? vols),Aug 2007 - Aug 2007,217 members,N/A
Resort Lover,One-shot (? vols),Aug 2007 - Aug 2007,209 members,N/A
Try Angle,One-shot (? vols),Jul 2005 - Jul 2005,155 members,N/A
Class Maid,Manga (? vols),Dec 2004 - Dec 2006,247 members,N/A
Boy or Chicken?,One-shot (? vols),Dec 2005 - Dec 2005,204 members,N/A
Futon-bu,Manga (? vols),Apr 2006 - Apr 2011,184 members,N/A
Dekoboko,One-shot (? vols),Feb 2005 - Feb 2005,190 members,N/A
Dattara Yarasete yo,One-shot (? vols),Jun 2012 - Jun 2012,68 members,N/A
JC,Doujinshi (2 vols),Aug 2013 - Aug 2013,136 members,N/A
"Sono Toki, Kanojo wa...",Manga (1 vols),Oct 2008 - Oct 2012,270 members,N/A
Houkago no Sangatsu Usagi-tachi,Manga (1 vols),May 2013 - Jan 2014,153 members,N/A
ED no Eroi Hon desu.,Doujinshi (1 vols),Dec 2012 - Dec 2012,100 members,N/A
Toshokan de Suteru!!,One-shot (? vols),May 2013 - May 2013,161 members,N/A
Tane,One-shot (? vols),Jul 2013 - Jul 2013,85 members,N/A
Tsumetai Asa x Atatakai Futon,One-shot (? vols),Jan 2012 - Jan 2012,113 members,N/A
Miko Hajime,One-shot (? vols),Dec 2008 - Dec 2008,82 members,N/A
Nikushoku Twins,One-shot (? vols),Nov 2009 - Nov 2009,74 members,N/A
Nikushoku Joshi,Manga (1 vols),Nov 2009 - Apr 2011,180 members,N/A
Zannen Ouji to Dokuzetsu Ninpu,One-shot (? vols),Jun 2013 - Jun 2013,189 members,N/A
Loli Gurui,Manga (1 vols),Jul 2013 - Jul 2013,170 members,N/A
Chikujin no Niwa,One-shot (? vols),Jul 2013 - Jul 2013,103 members,N/A
"Ruka-san, Kiki Ippatsu!!?",One-shot (? vols),Jun 2012 - Jun 2012,95 members,N/A
Seitokaichou Ibuki!,One-shot (? vols),Jun 2013 - Jun 2013,77 members,N/A
Kaettekita! Oshiri Kajiri Yarou,Doujinshi (1 vols),Dec 2008 - Dec 2008,59 members,N/A
Ichamazo! Oshioki Joou-sama Shimai,Novel (1 vols),Feb 2013 - Feb 2013,40 members,N/A
Ichamazo!! Do M Ojousama to Do S Maid no Chousenjou,Novel (1 vols),Mar 2013 - Mar 2013,42 members,N/A
Mini Mini na Vampire wa Suu no ga Daisuki,Novel (1 vols),Aug 2013 - Aug 2013,40 members,N/A
Ore no Kanojo to Oneechan no Yuuwaku Mizugi Shoubu!,Novel (1 vols),Aug 2013 - Aug 2013,107 members,N/A
Ore to Osananajimi no Naka wo Imouto ga Jama wo Suru,Novel (1 vols),Mar 2012 - Mar 2012,42 members,N/A
Ani no Shasei Kanri wa Imouto no Gimu desu,One-shot (? vols),Feb 2013 - Feb 2013,204 members,N/A
Naoto-kun no Sainan,One-shot (? vols),Mar 2013 - Mar 2013,111 members,N/A
Ore to Ohimesama no Naka wo Maou ga Jama wo Suru,Novel (1 vols),Jun 2012 - Jun 2012,74 members,N/A
Gakuen wo Sukuu no wa Harem Seitokai,Novel (1 vols),Apr 2013 - Apr 2013,48 members,N/A
Sekai wo Sukuu no wa Harem Party,Novel (1 vols),Jan 2013 - Jan 2013,47 members,N/A
Ore to Maid no Naka wo Onnashitsuji ga Jama wo Suru,Novel (1 vols),Dec 2012 - Dec 2012,37 members,N/A
Namaiki na Kiss,Manga (1 vols),2013 - 2013,73 members,N/A
Mini Mini na Kouhai wa Mousou ga Daisuki,Novel (1 vols),Aug 2012 - Aug 2012,31 members,N/A
Dokidoki Taiken!,Manga (? vols),Sep 2012 - Jul 2013,92 members,N/A
Fuari-chan Tensai Tensai,One-shot (? vols),Jul 2013 - Jul 2013,108 members,N/A
Ouji to Kojiki,Manga (1 vols),Dec 2010 - Dec 2010,95 members,N/A
Toilet no Omocha,Manga (1 vols),Mar 2005 - Mar 2005,83 members,N/A
Core Scramble,Manhwa (3 vols),Jun 2011 - Nov 2011,141 members,N/A
Naisho no Little Ecstasy♥,Manga (1 vols),Oct 2009 - Oct 2009,92 members,N/A
Fushidara na Oniisan,Manga (1 vols),Apr 2013 - Apr 2013,83 members,N/A
Deka ni Romance,Manga (1 vols),May 2012 - May 2012,116 members,N/A
Shitsuji wa Itsumo Yuuutsu,Manga (1 vols),Jun 2012 - Jun 2012,128 members,N/A
Bikun Bikun Ojousama to Nure Nure Maid!,Novel (1 vols),Jul 2013 - Jul 2013,44 members,N/A
Choubi,Manga (1 vols),Aug 2000 - Aug 2000,54 members,N/A
Diablo: Koakuma Maro Hourouki,Manga (1 vols),Nov 2007 - Nov 2007,75 members,N/A
Natsu♥Nadeshiko,Manga (1 vols),Aug 2008 - Aug 2008,62 members,N/A
Hard Shop,Manga (1 vols),Oct 2001 - Oct 2001,73 members,N/A
Blue Sky: Aozora-sou no Yukai na Nakama-tachi,Manga (1 vols),Jan 2005 - Jan 2005,39 members,N/A
Migawari Body,Manga (1 vols),Sep 2003 - Sep 2003,54 members,N/A
Yakyou Haikai,Manga (1 vols),Mar 2005 - Mar 2005,94 members,N/A
Mix LOVE Juice,Manga (1 vols),Jan 2011 - Jan 2011,74 members,N/A
RPG,Manga (1 vols),Feb 2007 - Feb 2007,118 members,N/A
Kana-san,Manga (1 vols),Dec 2010 - Dec 2012,50 members,N/A
Couple Hajimemashita,Manga (1 vols),Apr 2013 - Apr 2013,149 members,N/A
J Cup Gakuen Ninpouchou: Boin Saga,Novel (3 vols),Feb 2008 - Feb 2009,64 members,N/A
"Erodou! Kaichou to Ore to Senpai no, Doujin & Cosplay Seikatsu!",Novel (1 vols),Nov 2012 - Nov 2012,45 members,N/A
Mori no Kurashi,Doujinshi (1 vols),Aug 2004 - Aug 2004,165 members,N/A
Tsuyokiss 2 Gakki Another Days: Pinch Nagomi to Otoko Otome to Sunao Oneechan no Baai,Novel (1 vols),Feb 2009 - Feb 2009,37 members,N/A
Tsuyokiss 2 Gakki Another Days: Kurogane Otome no Baai,Novel (1 vols),Jun 2009 - Jun 2009,39 members,N/A
Yubisaki kara Biyaku,Manga (1 vols),Sep 2012 - Sep 2012,99 members,N/A
Danshiryou 301 Goushitsu no Renai Flag,Manga (1 vols),Mar 2013 - Mar 2013,106 members,N/A
Fair Bianca,Manga (1 vols),2013 - 2013,234 members,N/A
Himitsu Countdown,Manga (1 vols),2012 - 2012,106 members,N/A
Torokeru Hanjuku Yuujou Quest,Manga (1 vols),2012 - 2012,90 members,N/A
Onmitsu Shigoto Shinobu: Injoku Shokushu Kousoku Naburi Seme,One-shot (? vols),Mar 2010 - Mar 2010,47 members,N/A
Sannin Yoreba Yaritai Houdai,One-shot (? vols),Jun 2007 - Jun 2007,115 members,N/A
Otoko no Ko wa Ore no Yome,Manga (1 vols),Jul 2013 - Jul 2013,93 members,N/A
Otoko no Ko Hell,Doujinshi (1 vols),Dec 2007 - Dec 2007,74 members,N/A
Yuutousei Muchimuchi Chigoku,Manga (1 vols),Nov 2010 - Mar 2013,107 members,N/A
Mousou Junkie,One-shot (? vols),Aug 2011 - Aug 2011,62 members,N/A
Imouto wa Boku no Koibito,Doujinshi (? vols),Aug 2012 -,127 members,N/A
Blue Snow Blue,Doujinshi (? vols),Aug 2005 -,113 members,N/A
Sensei Anone....,Doujinshi (1 vols),May 2013 - May 2013,182 members,N/A
Ningen Igai ja Dame desu ka?,Manga (3 vols),May 2013 - Jul 2015,316 members,N/A
Amaetagari,Manga (1 vols),Jul 2011 - Jul 2013,214 members,N/A
Ecchi Life!,Manga (1 vols),Aug 2010 - Apr 2013,308 members,N/A
Houkago made Mate Nai,Manga (1 vols),Dec 2003 - Dec 2005,66 members,N/A
Tadashi Imouto no Shitsukekata,Manga (1 vols),Jul 2009 - Jun 2013,118 members,N/A
Loliman Complex,Manga (1 vols),Aug 2013 - Aug 2013,136 members,N/A
